Gene,S4,S5,S6,S7,S8,S9,S11,S13,S14,SYMBOL
ENSMUSG00000106607,0.1059,0.243,0.22,0.1946,0,0,0,0,0.0827,Gm43178
ENSMUSG00000097145,2.6044,1.7073,2.2079,2.9294,2.3606,2.4481,2.6716,3.0963,3.4853,9230114K14Rik
ENSMUSG00000106464,3.6135,4.3077,3.8997,4.2304,5.7214,4.2734,5.5221,5.1412,6.1393,C130083M11Rik
ENSMUSG00000105328,0,0,0.1585,0.1402,0.1027,0.1116,0.1436,0.052,0.0794,Gm43180
ENSMUSG00000104751,0,0,0,0.4904,0,0,0,0,0,Gm43179
ENSMUSG00000088981,0,0,0,0,0,0,0,0,0,Gm25601
ENSMUSG00000072941,224.4897,209.2266,173.9095,190.8765,171.8099,215.2125,213.3773,273.8606,251.3056,Sod3
ENSMUSG00000045790,12.0427,10.2725,9.162,10.4947,11.6213,10.0618,10.9369,11.7666,12.3967,Ccdc149
ENSMUSG00000106380,0.2628,0.3014,0.3639,0.2414,1.061,0.1921,0.4947,0.5371,0.3419,Gm3519
ENSMUSG00000039252,6.7241,5.7787,4.5307,5.5775,6.8326,5.9681,6.5155,9.1244,9.866,Lgi2
ENSMUSG00000104829,0,0,0,0,0,0,0,0,0.1623,Gm43685
ENSMUSG00000104974,0,0,0,0,0,0,0.034,0.123,0,Gm43686
ENSMUSG00000095078,0,0,0,0,0,0,0,0,0,Gm5866
ENSMUSG00000052295,0.309,0.2363,0.4278,0.5676,0.4678,0.1694,0.4944,0.3158,0.2814,8030423F21Rik
ENSMUSG00000029173,14.6764,14.9305,11.5947,14.5628,15.09,14.757,15.2831,13.3661,14.9201,Sepsecs
ENSMUSG00000029186,74.4962,87.877,88.6355,94.1805,111.2949,100.1474,96.5826,98.76,102.8966,Pi4k2b
ENSMUSG00000029179,2.7079,2.4418,2.1126,3.5393,2.9645,2.7775,3.0967,2.795,2.9131,Zcchc4
ENSMUSG00000029176,22.6449,23.1247,21.9872,25.5022,25.1724,23.059,23.5467,22.4029,21.7479,Anapc4
ENSMUSG00000105054,0,0,0,0,0,0,0,0,0,Gm43664
ENSMUSG00000077757,0,0,0,0,0,0,0,0,0,Gm23532
ENSMUSG00000106352,2.6616,4.4995,1.8912,2.7022,2.6865,2.1506,2.1361,2.2906,3.3899,5033403H07Rik
ENSMUSG00000106538,0.9006,2.3247,1.6368,1.0341,2.9546,0.7407,2.4161,0,1.2304,Gm30301
ENSMUSG00000029188,976.0994,1202.2409,1237.4115,1251.1845,1732.6152,1080.8743,922.0444,903.9532,969.1777,Slc34a2
ENSMUSG00000090642,3.5848,4.3081,4.9637,5.3313,7.7538,2.2464,5.4953,2.9658,2.6651,Gm17182
ENSMUSG00000029189,1.5649,1.59,1.8728,1.4649,2.9937,1.52,1.3215,3.0464,1.1286,Sel1l3
ENSMUSG00000061461,12.3642,10.768,11.9491,14.4632,13.5499,13.6694,12.9397,11.5531,11.9367,Smim20
ENSMUSG00000106981,3.7133,3.8635,5.2015,5.3147,4.5327,5.682,4.8771,4.5893,3.9773,Gm45495
ENSMUSG00000106808,0,0,0,0,0.7678,0.8341,0.4296,0,0,Gm42745
ENSMUSG00000039191,7.6684,7.5288,6.0026,8.1334,7.4847,7.9927,7.7839,8.1549,8.1524,Rbpj
ENSMUSG00000106807,0,0,0,0,0,0,0.0536,0,0,Gm10441
ENSMUSG00000107111,0,0,0,0.5032,0,0,0.3094,0,0,Gm40304
ENSMUSG00000029193,60.2853,55.6178,55.5667,70.9414,49.5017,57.5837,61.8343,49.1425,58.3274,Cckar
ENSMUSG00000039178,23.926,21.4495,18.733,22.7996,24.5783,22.6222,24.6845,23.4897,23.8613,Tbc1d19
ENSMUSG00000107182,1.9912,1.329,1.9551,1.8623,1.9003,1.7072,1.6562,1.554,1.8087,Gm43268
ENSMUSG00000107173,0.3316,0.3804,0,0.1523,0.0837,0.0909,0.3277,0.1694,0.3235,Gm43266
ENSMUSG00000039156,49.3071,44.2921,34.0079,44.1096,38.482,36.7895,41.0759,43.6982,44.5185,Stim2
ENSMUSG00000107105,0,0.2313,0,0.1852,0,0,0,0,0,Gm15820
ENSMUSG00000105912,0.2133,0.0612,0.0554,0.098,0.2153,0.1754,0.1506,0.218,0.2914,Gm10440
ENSMUSG00000106529,0,0,0,0,0,0,0,0,0,Gm18451
ENSMUSG00000105143,0,0,0,0,0.9622,0,0.5384,0,0,Gm8069
ENSMUSG00000106126,0,0,0,0,0,0,0,0,0,Gm43781
ENSMUSG00000077507,0,0,0,0,0,0,0,0,0,Gm24235
ENSMUSG00000106113,0,0,0,0,0,0,0,0,0,Gm43779
ENSMUSG00000065795,0,0,0,0,0,0,0,0,0,Gm25513
ENSMUSG00000105702,0,0,0,0,0,0,0,0,0,Gm43780
ENSMUSG00000105384,0,0,0,0,0,0,0,0,0,Gm43396
ENSMUSG00000105551,0,0,0,0,0,0,0,0,0,Gm43199
ENSMUSG00000083902,3.3508,4.2042,3.5885,4.2321,4.4391,3.5597,4.0214,4.8157,5.3131,Gm15975
ENSMUSG00000105186,0,0,0,0,0,0,0,0,0,Gm43778
ENSMUSG00000106335,0,0,0,0,0,0,0,0,0,Gm20223
ENSMUSG00000105678,0,0,0,0,0,0,0,0,0,Gm43705
ENSMUSG00000105685,0,0,0,0,0,0,0,0,0,Gm43315
ENSMUSG00000106326,0,1.1695,2.1174,0,0,0,0.5758,1.0419,0,Gm42977
ENSMUSG00000088734,0,0,0,0,0,0,0,0,0,Gm23896
ENSMUSG00000088751,0,0,0,0,0,0,0,0,0,Gm24902
ENSMUSG00000077333,0,0,0,0,0,0,0,0,0,Gm23015
ENSMUSG00000104739,0,0,0,0,0,0,0,0,0,Gm3283
ENSMUSG00000104560,0,0,0,0.1832,0,0.2187,0.1127,0,0,Gm8115
ENSMUSG00000105291,0,0,0,0,0,0,0,0,0,Gm18901
ENSMUSG00000105693,0,0,0,0,0,0,0,0,0,Gm43706
ENSMUSG00000104892,0,0,0,0,0,0.2551,0,0,0,Gm6615
ENSMUSG00000097216,0.1868,0.1428,0.194,0.4003,0.1257,0.3755,0.3516,0.2545,0.2673,4932441J04Rik
ENSMUSG00000051116,0.5884,0,0,0.5405,1.7818,1.2905,0.8308,1.5034,0.2297,Gm8121
ENSMUSG00000104924,0,0,0,0,0,0,0,0,0,Gm43002
ENSMUSG00000106517,0,0,0,0,0,0,0,0,0,Gm42634
ENSMUSG00000029108,3.9457,2.9699,2.2716,3.4463,2.4175,4.0991,3.3699,4.089,4.3013,Pcdh7
ENSMUSG00000105940,0.1142,0,0.1186,0,0.1153,0,0.0967,0.0584,0,Gm42635
ENSMUSG00000104821,0,0,0,0,0,0,0,0,0,Gm42481
ENSMUSG00000105637,0,0,0,0,0,0,0,0,0,Gm42480
ENSMUSG00000105050,0,0,0,0,0,0,0,0,0,Gm42482
ENSMUSG00000104564,0,0,0,0,0,0,0,0,0,Gm17977
ENSMUSG00000105079,0,0,0,0,0,0,0.0305,0,0,Gm43715
ENSMUSG00000105877,0,0,0,0,0,0,0,0,0,Gm42479
ENSMUSG00000106337,0,0,0,0,0,0,0,0,0,Gm42478
ENSMUSG00000104871,0,0,0.2445,0,0,0.086,0,0,0,Gm42639
ENSMUSG00000105431,0,0,0.1276,0,0,0,0,0,0,Gm42640
ENSMUSG00000104709,0.0698,0,0,0,0,0,0,0,0.0545,Gm42484
ENSMUSG00000103959,0,0,0,0.1087,0,0,0,0,0,Gm37720
ENSMUSG00000106646,0,0,0,0,0,0,0,0,0,Gm42483
ENSMUSG00000105049,0.0421,0,0,0,0,0,0,0,0,Gm42486
ENSMUSG00000105525,0,0,0,0,0,0,0,0,0,Gm42976
ENSMUSG00000106146,0,0,0,0,0,0,0,0,0,Gm43045
ENSMUSG00000105269,0,0,0,0,0,0,0,0,0,Gm42999
ENSMUSG00000088796,0,0,0,0,0,0,0,0,0,Gm22536
ENSMUSG00000105234,0,0,0,0,0,0,0,0,0,4930459L07Rik
ENSMUSG00000100557,0,0,0,0,0,0,0.1095,0,0,1700029E06Rik
ENSMUSG00000106509,0,0,0,0,0,0,0,0,0,Gm43394
ENSMUSG00000094696,0,0,0,0,0,0,0,0,0,Gm6632
ENSMUSG00000106467,0,0,0,0,0,0,0,0,0,Gm43395
ENSMUSG00000096124,0,0,0,0,0,0,0,0,0,Gm22308
ENSMUSG00000105038,0,0,0,0,0,0,0,0,0,Gm43044
ENSMUSG00000106634,0,0,0,0,0,0,0,0,0,Gm43042
ENSMUSG00000104889,0,0,0,0,0,0,0,0,0,Gm43043
ENSMUSG00000104563,0,0,0,0,0,0,0,0,0,Gm43041
ENSMUSG00000106013,0,0,0,0,0,0,0,0,0,4933402J10Rik
ENSMUSG00000105158,0,0,0,0,0,0,0,0,0,Gm42862
ENSMUSG00000106250,0,0,0,0,0,0,0,0,0,Gm43392
ENSMUSG00000106170,0,0,0,0,0,0,0,0,0,Gm43393
ENSMUSG00000106042,0,0,0,0,0,0,0,0,0,Gm42861
ENSMUSG00000087034,0.2011,0,0.2088,0.1847,0.203,0,0,0.2055,0.157,Cbfa2t2-ps1
ENSMUSG00000088048,0,0,0,0,0,0,0,0,0,Gm23331
ENSMUSG00000106548,0,0,0,0,0,0,0,0,0,Gm43390
ENSMUSG00000105486,0,0,0,0,0,0,0,0,0,Gm3372
ENSMUSG00000077555,0,0,0,0,0,0,0,0,0,Gm23708
ENSMUSG00000106044,0.0368,0.0844,0.0764,0,0.1114,0,0.1246,0.0376,0.0574,Gm42860
ENSMUSG00000104775,0,0,0,0,0,0,0,0,0,Gm8182
ENSMUSG00000105903,0,0,0,0,0,0,0,0,0,1700014F14Rik
ENSMUSG00000106370,0,0,0,0,0,0,0,0,0,Gm43382
ENSMUSG00000105675,0,0,0,0,0,0,0,0,0,Gm43383
ENSMUSG00000105573,0,0,0,0,0,0,0,0,0,Gm43384
ENSMUSG00000089992,0,0,0,0.0574,0.0631,0.0686,0,0,0,G6pd2
ENSMUSG00000106530,0,0,0,0,0,0,0,0,0,Gm42430
ENSMUSG00000077228,0,0,0,0,0,0,0,0,0,Gm22273
ENSMUSG00000105285,0,0,0,0,0,0,0,0,0,Gm43238
ENSMUSG00000094239,0,0,0,0,0,0,0,0,0,Gm24079
ENSMUSG00000037999,20.1857,21.1136,19.1382,28.3868,19.0897,20.08,22.7937,15.0023,18.6199,Arap2
ENSMUSG00000105694,0.7031,1.1292,0.5841,0.5167,0.2839,0.771,0.2383,0.1437,0.1098,Gm43237
ENSMUSG00000105707,0.0444,0,0.0461,0,0,0.0973,0,0,0.0693,Gm43753
ENSMUSG00000090326,0.121,0.2082,0.0628,0.1111,0.1832,0.199,0.4099,0.3091,0.2361,Dthd1
ENSMUSG00000104868,0.4039,0.2495,0.0645,0.0856,0.1568,0.1022,0.1755,0.0953,0.3881,Gm9954
ENSMUSG00000090061,1.1966,0.8882,0.5994,0.5431,0.7389,0.7102,0.4452,0.5755,0.3077,Nwd2
ENSMUSG00000090138,0.3191,0,0,0,0,0,0,0,0,Gm3687
ENSMUSG00000060512,20.6493,21.9359,21.2538,19.2484,24.1113,18.7587,18.1142,16.8579,15.8333,0610040J01Rik
ENSMUSG00000047881,43.0214,43.1503,35.7023,44.7988,39.0056,43.4621,39.2623,47.0417,44.0154,Rell1
ENSMUSG00000087552,0.3052,0.7002,0,0.5607,0.3081,0,0,0.3119,0,Gm15819
ENSMUSG00000106076,0,0,0,0,0.3062,0,0,0,0,Gm43840
ENSMUSG00000077209,0,0,0,0,0,0,0,0,0,Gm25608
ENSMUSG00000106219,0,0,0,0,0,0,0,0,0,5830416I19Rik
ENSMUSG00000029171,25.2234,26.0741,26.0765,28.5322,23.858,25.7956,29.0029,32.9035,29.4244,Pgm1
ENSMUSG00000094244,0,0,0,0,0,0,0,0,0,Gm23967
ENSMUSG00000093780,1.5292,0,0,1.4047,0,0,0,0,0,Gm22395
ENSMUSG00000087954,0,0,0,0,0,0,0,0,0,Gm22559
ENSMUSG00000029174,14.5121,15.1238,12.0442,14.8236,15.0684,16.3055,16.3359,23.7058,17.9832,Tbc1d1
ENSMUSG00000083435,0,0,0,0,0,0,0.0868,0,0,Gm15824
ENSMUSG00000104947,0,0,0,0.0583,0,0,0,0,0,Gm43721
ENSMUSG00000081143,0,0,0,0,0,0,0,0,0,Gm15823
ENSMUSG00000083100,0,0,0,0,0.297,0,0.3323,0,0,Gm6044
ENSMUSG00000105730,0,0,0,0,0,0,0,0,0,Gm43838
ENSMUSG00000105443,0,0,0,0,0,0,0,0,0.1716,Gm43837
ENSMUSG00000105105,0,0,0,0,0,0,0.1533,0,0,Gm31363
ENSMUSG00000100911,0,0,0,0,0,0,0,0,0,1700027F09Rik
ENSMUSG00000105251,0,0,0,0,0,0.1688,0,0,0,4930526M16Rik
ENSMUSG00000105352,0,0,0,0,0,0,0,0,0,C030018K13Rik
ENSMUSG00000106566,0,0,0,0,0.3889,0.4225,0,0.3938,0,Gm43836
ENSMUSG00000104961,0,0,0,0,0,0,0,0,0,Gm43835
ENSMUSG00000104806,0,0,0,0.4194,0,0.2504,0,0,0.3565,Gm42566
ENSMUSG00000105402,0.9363,1.074,1.4098,1.806,2.0791,1.3347,1.7449,1.9137,1.7541,Gm3716
ENSMUSG00000105183,0,0,0,0,0,0,0,0,0,Gm42564
ENSMUSG00000104928,0,0,0,0,0,0,0,0,0,Gm42565
ENSMUSG00000093029,0,0,0,0,0,0,0,0,0,Gm25306
ENSMUSG00000097668,0.067,0,0,0,0.0676,0,0.0378,0.1369,0,Gm26761
ENSMUSG00000097640,1.7387,1.6172,1.9521,2.0288,1.7076,1.8037,2.1763,1.3447,1.4674,Gm20033
ENSMUSG00000029178,61.7883,60.8595,48.1791,52.8225,49.201,54.4555,58.3246,54.2732,62.5955,Klf3
ENSMUSG00000106205,3.2396,2.6406,3.5414,3.3674,2.2374,3.4591,3.1296,2.3525,2.662,C230096K16Rik
ENSMUSG00000044827,4.0365,3.3722,3.554,7.1335,5.9344,6.1105,6.7152,6.3225,4.0072,Tlr1
ENSMUSG00000051498,6.6569,4.8801,5.8495,6.4766,6.0832,5.8314,5.517,4.871,5.4118,Tlr6
ENSMUSG00000029185,34.3336,36.2169,31.5568,42.0956,36.3985,35.7033,38.3074,42.0462,44.7081,Fam114a1
ENSMUSG00000077042,0,0,0,0,0,0,1.063,0,0,Mir574
ENSMUSG00000106186,0,0,0.1326,0,0,0.1401,0.0721,0.0653,0,Gm43627
ENSMUSG00000037913,1.6415,1.934,2.1654,2.2007,2.06,1.9461,2.5307,2.2671,1.7316,Tmem156
ENSMUSG00000054920,125.5037,120.1077,102.3577,108.4235,95.331,96.1557,104.3526,81.2789,82.8365,Klhl5
ENSMUSG00000037890,5.6233,6.182,4.6908,6.8394,6.9769,6.0667,7.0208,6.053,6.4931,Wdr19
ENSMUSG00000029191,22.5536,21.8447,19.7249,26.3834,25.5709,24.3048,22.9138,21.4799,21.3746,Rfc1
ENSMUSG00000105935,0,0,0.1284,0.1136,0,0,0.0698,0,0.0965,Gm43628
ENSMUSG00000029195,0.71,0.2591,0.1341,0.2668,0.1954,0.3539,0.3281,0.0989,0.3275,Klb
ENSMUSG00000047215,304.5233,300.4132,359.6901,328.7457,322.8187,315.4474,308.4205,278.2057,281.1264,Rpl9
ENSMUSG00000029199,13.4278,13.4874,13.1106,14.2818,12.127,14.3023,14.1511,13.2307,13.2154,Lias
ENSMUSG00000106291,1.5312,1.3174,0.9938,1.5823,0.966,1.0495,1.5134,0.5868,1.1953,1110003F10Rik
ENSMUSG00000105896,0.3706,0.2125,0.1283,0.1702,0.1247,0.1355,0.0698,0,0.0964,Gm43311
ENSMUSG00000029201,21.5904,21.0261,19.7344,21.8893,20.3005,21.3874,20.3471,22.6431,22.8624,Ugdh
ENSMUSG00000105835,0,0,0.8354,0,0,0,0.2272,0.4111,0.314,Gm43552
ENSMUSG00000104917,0.0995,0,0,0.1828,0.1005,0,0.1124,0.1017,0.1554,Gm43289
ENSMUSG00000037822,26.4188,25.1727,22.4925,26.3945,25.0249,26.3613,26.2548,24.8118,25.7665,Smim14
ENSMUSG00000104641,0.3772,0.1082,0.1958,0.1732,0.4759,0.3102,0.3728,0.2891,0.4416,Gm43290
ENSMUSG00000107195,0.9574,1.0983,0.4971,1.026,1.4496,1.3999,0.6308,1.4677,0.4983,4930589O11Rik
ENSMUSG00000105601,0.6302,0.4418,0.509,0.4181,0.3181,0.3456,0.3757,0.2863,0.492,Gm42725
ENSMUSG00000029203,30.2652,28.2317,28.5904,27.2026,27.3759,27.2124,26.5164,30.0945,29.565,Ube2k
ENSMUSG00000107362,0.2514,0,0.2611,0,0.3383,0.0919,0,0,0.0654,Gm40309
ENSMUSG00000107102,0.1142,0.3929,1.067,0.2097,0.2305,0,0.2579,0.2333,0.1782,Gm42726
ENSMUSG00000029202,18.4504,18.2824,13.1837,16.7805,17.5199,15.3621,16.7838,16.2645,17.562,Pds5a
ENSMUSG00000106767,1.0401,1.2528,1.3501,1.0987,0.5249,0.7984,1.1748,0.6378,0.7307,Gm42727
ENSMUSG00000106696,0.1503,0,0.1041,0.046,0,0,0.0849,0.0512,0.0782,Gm42729
ENSMUSG00000088494,0,0,0,0,2.0025,0,0,0,0,Gm24399
ENSMUSG00000107158,0,0,0,0.0869,0,0,0.0534,0,0.0738,Gm42728
ENSMUSG00000107050,0,0,0,0,0.0636,0,0.0711,0,0.0492,C030017G13Rik
ENSMUSG00000106978,5.9599,4.0635,5.0799,4.8548,6.0159,4.9943,3.9376,4.1373,3.8624,N4bp2os
ENSMUSG00000037795,4.9701,4.6761,3.1315,4.9714,4.5904,4.3732,4.6043,4.1359,4.5699,N4bp2
ENSMUSG00000089337,0.7567,0,0,0,0,0,0.8548,0,0.5907,Gm24346
ENSMUSG00000106682,0.2344,0.1345,0.1217,0.323,0.4141,0.1285,0.2648,0.1198,0.2287,Gm42648
ENSMUSG00000106713,0,0,0,0,0,0,0,0,0,Gm42645
ENSMUSG00000106776,0,0,0,0,0,0,0.1814,0,0,Gm42646
ENSMUSG00000106681,0,0.7187,0,0,0,0,0.1179,0.2134,0,Gm43004
ENSMUSG00000029204,1.3629,1.1563,1.0762,2.3864,1.8055,1.6969,1.8441,2.0312,1.3964,Rhoh
ENSMUSG00000107254,0.034,0.039,0.0353,0.1248,0.0686,0.1117,0.0192,0.1735,0.0265,Gm43769
ENSMUSG00000029205,0,0.0557,0.0504,0.1783,0,0.3192,0,0,0,Chrna9
ENSMUSG00000106768,0,0,0,0,0,0,0,0,0,4930480C01Rik
ENSMUSG00000107049,0,0,0,0,0,0,0,0,0,Gm43771
ENSMUSG00000054598,0.4312,0.6452,0.662,0.8267,0.6056,0.7402,0.9001,0.3832,0.7318,9130230L23Rik
ENSMUSG00000093070,0,0,0,0,0,0,0,0,0,Gm25952
ENSMUSG00000070780,20.495,20.3134,20.4964,18.2989,23.7697,19.4635,17.8832,19.2702,16.9269,Rbm47
ENSMUSG00000107304,0.0432,0.0992,0.1347,0.0794,0.1746,0,0.0977,0.0442,0.27,Gm43775
ENSMUSG00000107390,0.069,0.0396,0.2506,0.0317,0.1392,0.0378,0.0195,0.0352,0.1346,Gm43323
ENSMUSG00000097092,0.9233,0.6052,0.6849,0.8481,0.7988,1.4464,0.8194,0.8088,1.1326,Gm26725
ENSMUSG00000093258,0,1.5739,0,0,1.3849,0,0,0,0,Gm22929
ENSMUSG00000107014,0.3625,0,0,0.333,0,0,0,0,0,1700126H18Rik
ENSMUSG00000107069,0,0,0,0,0,0,0,0,0,Gm43772
ENSMUSG00000084108,0,0,0,0.2137,0,0,0,0,0,Gm15794
ENSMUSG00000107125,0,0,0,0,0,0,0,0,0,Gm3822
ENSMUSG00000029206,0.9264,0.7501,0.6508,0.901,0.6876,0.6275,0.8771,0.5848,1.106,Nsun7
ENSMUSG00000029207,16.4665,16.2327,13.1936,16.3184,16.0804,14.857,16.9587,18.32,17.9227,Apbb2
ENSMUSG00000106818,0.0729,0.0837,0.1515,0.134,0.3681,0.1599,0.2059,0.3727,0.2277,Gm43790
ENSMUSG00000084544,0.4545,0.5214,0.472,0.835,0,0,1.0268,0,0.3548,Gm23183
ENSMUSG00000107155,0.1101,0,0,0.2023,0,0,0.0622,0,0,Gm43793
ENSMUSG00000106910,0,0,0,0,0.5529,0,0,0.5598,0,Gm16273
ENSMUSG00000106732,0.0664,0,0,0,0,0,0.1501,0,0,Gm43792
ENSMUSG00000106772,0.2121,0.2434,0.2203,0,0,0.2326,0.1198,0,0.1656,Gm43794
ENSMUSG00000107091,0.1524,0.1749,1.029,0.4201,0.1539,0.2508,0.4735,0.0779,0.119,Gm43343
ENSMUSG00000106720,0,0.0712,0,0.114,0,0.068,0.1051,0.0634,0.0484,Gm43795
ENSMUSG00000106706,0,0,0,0,0,0,0.0533,0.0483,0,C530043K16Rik
ENSMUSG00000087601,0,0,0,0,0,0,0,0,0,Uchl1os
ENSMUSG00000029223,2.6087,2.7862,2.1486,2.231,2.4516,2.2688,2.6926,4.5047,5.2666,Uchl1
ENSMUSG00000107300,0.1753,0,0.1214,0,0.059,0,0.033,0.1792,0.1825,Gm43279
ENSMUSG00000107284,0,0,0,0,0,0,0,0,0,Gm43280
ENSMUSG00000037736,277.6051,266.4867,208.6526,272.1984,214.124,241.6489,248.9109,253.8306,270.1369,Limch1
ENSMUSG00000082420,0.2873,0.6591,1.1934,0,1.1599,1.2602,0.3245,1.1744,2.2427,Gm6517
ENSMUSG00000106749,0.2172,0.2491,0.5638,0.2992,0.0548,0.1191,0.184,0.111,0.0424,Gm43281
ENSMUSG00000107290,0,0.0781,0,0,0,0,0,0,0,Gm43282
ENSMUSG00000085839,2.3303,2.6732,3.6299,2.1405,1.1761,6.3885,3.2901,1.1908,0.9095,Gm15949
ENSMUSG00000086964,2.9143,1.2537,0.3783,3.3462,0.7354,1.5979,1.8516,1.8615,1.1375,Gm15948
ENSMUSG00000106785,0,0,0,0,0,0,0,0,0,Gm42713
ENSMUSG00000080601,6.4389,5.9091,2.6747,18.9265,2.5997,0,3.6364,0,9.0474,Gm23841
ENSMUSG00000012520,0,0,0.0418,0.037,0.0407,0.1325,0.091,0.0412,0.2201,Phox2b
ENSMUSG00000106995,0,0.0637,0,0,0,0,0,0,0.0434,Gm33167
ENSMUSG00000107319,3.7497,3.6497,1.534,0.835,1.8351,1.1214,2.1819,1.5096,2.2175,Gm42670
ENSMUSG00000037720,34.9936,36.5345,25.1117,24.7851,26.7229,24.6128,24.9631,26.1026,33.9159,Tmem33
ENSMUSG00000029221,19.4096,17.6248,16.3865,17.0226,17.2685,17.1606,17.4814,17.9208,20.2176,Slc30a9
ENSMUSG00000107266,0,0.2396,0,0.1918,0.2108,0,0,0,0.163,Gm43698
ENSMUSG00000092060,3.1482,2.6404,1.9739,2.3871,2.6681,2.9149,2.7425,3.6272,3.0372,Bend4
ENSMUSG00000097840,0.1135,0.911,0.7069,0.2084,0.3435,0,0.5126,0.2319,0.2657,Gm26756
ENSMUSG00000106832,0.1827,0.0699,0.1265,0,0.0615,0,0.1376,0.1245,0.0951,Gm42632
ENSMUSG00000106925,0,0,0,0,0,0,0.2839,0.5138,0,Gm20072
ENSMUSG00000107385,0.0721,0.0414,0,0,0.0728,0.0791,0.0407,0,0,C330024D21Rik
ENSMUSG00000106947,0,0,0,0,0,0.2644,0.2723,0,0,1700025A08Rik
ENSMUSG00000050010,0.8338,0.8148,0.7376,0.9077,0.8728,0.8805,1.029,0.6943,0.8437,Shisa3
ENSMUSG00000037685,80.3124,81.8688,66.1698,83.4909,85.9644,66.6261,72.3889,65.781,69.7411,Atp8a1
ENSMUSG00000094435,0,1.7727,1.6048,8.5169,3.1196,1.6946,1.7455,1.5793,0,Gm23617
ENSMUSG00000107041,2.2297,2.5578,2.0377,3.0313,3.1509,1.9561,2.0148,1.4584,2.5761,Gm42735
ENSMUSG00000085363,1.0814,0.5428,0.1404,0.9313,1.2963,0.3706,0.9161,0.8289,1.0553,Gm15478
ENSMUSG00000106859,0.0837,0.096,0,0,0.0844,0,0,0,0,Gm42737
ENSMUSG00000106837,0.1688,0,0,0,0,0,0.0477,0,0.0329,D630030B08Rik
ENSMUSG00000107136,0.677,0.6472,1.1718,0.4146,0.7973,1.1137,0.4461,0.1153,0.0881,Gm42466
ENSMUSG00000087261,0.273,0.3523,0.1063,0.2508,0.1722,0.2245,0.2313,0.1395,0.293,Gm15477
ENSMUSG00000107206,0,0,0,0,0,0,0,0,0,Gm42736
ENSMUSG00000095346,0,0,0,0,0,0,0,0,0,Gm21905
ENSMUSG00000106880,0,0,0,0,0,0,0.1113,0,0,4930425K10Rik
ENSMUSG00000094719,0,0,0,0,0.2729,0,0,0,0,Gm5108
ENSMUSG00000106897,0,0,0,0,0,0,0,0,0,Gm43027
ENSMUSG00000107257,0,0.7002,0,0,0,0,0.1724,0.3119,0,Gm43028
ENSMUSG00000068082,0,0,0,0,0,0,0,0.2802,0,Grxcr1
ENSMUSG00000106747,0,0,0,0,0,0,0.044,0,0,Gm43025
ENSMUSG00000107289,0,0,0,0,0,0,0,0,0,Gm43026
ENSMUSG00000087880,0,0,0,0,0,0,0,0,0,Gm23605
ENSMUSG00000106854,0,0,0,0,0,0,0,0,0,Gm42850
ENSMUSG00000107117,0,0,0,0,0,0,0,0,0,Gm43842
ENSMUSG00000037653,3.0031,2.8958,2.5763,3.0384,2.4163,2.5296,2.5072,1.29,2.2424,Kctd8
ENSMUSG00000107208,0,0,0,0,0,0,0,0,0,D130004A15Rik
ENSMUSG00000107234,0.2848,0.3267,0,0.2616,0,0.1561,0,0,0,Gm43371
ENSMUSG00000107363,0,0,0,0,0,0,0,0,0,Gm43373
ENSMUSG00000106673,0,0,0,0,0,0,0,0,0.0479,Gm43374
ENSMUSG00000106753,0,0,0.0716,0,0,0,0.0779,0,0,Gm43230
ENSMUSG00000107312,0,0.091,0,0,0,0,0,0,0,Gm43229
ENSMUSG00000107148,0,0.0386,0.1049,0,0.034,0.0369,0.038,0.0344,0,Gm42888
ENSMUSG00000093129,0,0,0,0,0,0,0,0,0,Gm24368
ENSMUSG00000096290,0,0,0,0,0,0,0,0,0,Gm23932
ENSMUSG00000043484,0,0,0.2575,0,0.2503,0.8158,0.2801,0,0,Gm5867
ENSMUSG00000106986,0,0,0,0,0,0,0,0,0,Gm42887
ENSMUSG00000029158,1.4452,2.0723,0.7504,1.6594,0.7294,1.7169,0.8162,0.8616,0.8461,Yipf7
ENSMUSG00000107291,0,0,0,0,0,0,0,0,0,3110031N09Rik
ENSMUSG00000029208,4.133,4.8548,4.1745,6.5007,4.9575,4.8272,5.8754,4.2239,4.6185,Guf1
ENSMUSG00000029209,6.6963,6.4791,6.0654,8.0573,7.3854,7.9298,8.0833,8.9645,9.2522,Gnpda2
ENSMUSG00000080566,0,0,0,0,0,0,0,0,0,Gm26044
ENSMUSG00000084579,0,0,0,0,0,0,0,0,0,Gm23661
ENSMUSG00000106284,0,0,0,0,0,0,0,0,0,Gm43139
ENSMUSG00000088863,0,0,0,0,0,0,0,0,0,Gm23067
ENSMUSG00000094803,0,0,0,0,0,0,0,0,0,Gm26072
ENSMUSG00000106613,0,0,0,0,0,0,0,0,0,Gm42652
ENSMUSG00000106549,0,0,0,0,0,0,0.0292,0,0,Gm42653
ENSMUSG00000001260,0,0,0,0,0,0,0,0.0763,0.0146,Gabrg1
ENSMUSG00000000560,0.0192,0.022,0.02,0,0.0194,0,0,0.0196,0,Gabra2
ENSMUSG00000049387,0,0.6214,0.2813,0,0.2734,0,0,0.2768,0,Cox7b2
ENSMUSG00000029211,0.9654,0.5537,0.3258,0.8202,0.8282,0.5558,0.8178,0.6166,1.1492,Gabra4
