Gene1	Gene2	kMEred	kMEturquoise
Scel		0.20112247	0.402853941
Slc15a1		0.157893807	0.549650396
Itgbl1		-0.210135199	0.891486477
Mmp12		-0.199137006	0.987067979
Mmp3		-0.375272027	0.84340656
Mmp8		0.079804456	0.459235776
Piwil4		-0.149788279	0.729773771
Fut4		-0.376893672	0.728358625
Slc36a4		-0.009722027	0.939783201
Acp5		-0.163246015	0.971038743
Zfp872		0.081319585	0.893989491
Jam3		-0.323673365	0.884055383
Adamts8		-0.357162138	0.693626205
Fli1		-0.460616839	0.467547409
Slc37a2		-0.177988631	0.959902354
Clmp		-0.518855934	0.487130424
Trim29		0.064180144	0.757653431
Usp2		0.199249371	0.471140618
Fxyd6		-0.341611877	0.605824064
Plet1		-0.343601198	0.735528179
Pou2af1		0.413576375	0.730156005
Cspg4		-0.255562934	0.804564199
Scamp5		-0.130179911	0.961708247
Gm6166		-0.309721817	0.665903844
Sema7a		-0.317157398	0.73047042
Cyp11a1		-0.042917596	0.930109269
Loxl1		-0.563166902	0.573696473
Hexa		-0.344410313	0.926146418
Plekho2		-0.033255273	0.9156281
Vps13c		0.307890591	0.492714137
Fam81a		-0.229337955	0.784994703
Myo5a		-0.035484219	0.963804388
Gclc		-0.672991648	0.577506757
Cd109		-0.164578299	0.983067328
Nt5e		0.229715681	0.699540901
Adamts7		-0.127545618	0.92715391
Plscr2		0.368497441	0.560034476
Spsb4		-0.099083475	0.946263331
A4gnt		-0.21258123	0.938837461
Ephb1		-0.284736602	0.950987808
Col6a5		-0.231445291	0.613874139
Cdhr4		-0.166847547	0.803769416
Pth1r		-0.351332234	0.881917098
Ltf		0.060440213	0.661524786
Glb1		0.064775231	0.919138308
Tgfbr2		0.028721732	0.947552102
Cx3cr1		0.318562492	0.533121229
Slc6a20a		0.059253801	0.862670099
Ccr1		-0.18622894	0.796723634
Ccr2		0.615960184	0.481238682
Ccr5		-0.057048244	0.888171801
Pik3ip1		0.642870059	0.466826225
Lif		0.254038762	0.539687931
Aebp1		-0.173724913	0.954565834
Ramp3		-0.562523806	0.803505571
Grb10		-0.774421342	0.600249433
Gm12002		-0.09588974	0.84377352
Plek		0.093914749	0.874408942
Ccdc88a		-0.239756959	0.905096506
Stc2		-0.068780958	0.955207437
Cpeb4		-0.492473295	0.557764402
Sh3pxd2b		-0.419616852	0.875366173
Lcp2		0.16627116	0.856171288
Dock2		0.652566658	0.560021612
Ccng1		-0.299028886	0.882779054
Ebf1		0.524388466	0.609259704
Cyfip2		0.343519002	0.800055905
Havcr2		-0.087383038	0.877955072
Gm5431		-0.05048738	0.892859186
Btnl9		-0.299724771	0.939145487
Adamts2		-0.313277122	0.955274902
Slc22a4		-0.014882157	0.926348313
Gpx3		-0.494269916	0.701439612
Gm2a		-0.042256208	0.880912317
Sparc		-0.417514699	0.961380122
Rasd1		-0.055256007	0.500626278
Tnfrsf13b		0.719246468	0.481168151
Mfap4		-0.65577499	0.481831399
Gas7		0.032266848	0.856940145
Pik3r5		-0.096191789	0.956563412
Per1		0.193663061	0.39034635
Tmem88		0.00495304	0.740160152
Cd68		-0.129209029	0.949802989
Mgl2		-0.419691876	0.814053632
Clec10a		-0.205305118	0.897438441
Bcl6b		-0.339948036	0.350148398
Cxcl16		-0.692154071	0.650304568
Nlrp1b		0.135335903	0.769320296
Mir22hg		0.560635491	0.541889918
Slc43a2		-0.533699857	0.71320804
Rflnb		-0.694543107	0.637670674
Aldoc		0.05452174	0.838241725
Nos2		0.031984925	0.930722041
AU040972		-0.212588538	0.812743572
Evi2a		0.138006247	0.861428638
Ccl2		-0.33770206	0.861594163
Ccl7		-0.329075547	0.677626621
Ccl8		-0.262629929	0.959629793
Slfn2		0.130678705	0.70919888
Rasl10b		-0.020218316	0.918717038
Ccl9		-0.126778695	0.874965186
Ccl6		-0.134454627	0.891528146
Ccl3		-0.391004437	0.904814468
Wfdc17		-0.297708091	0.93948456
Wfdc21		-0.190202062	0.873096679
Mmd		-0.534512804	0.745234048
Epn3		-0.272463629	0.369350968
Col1a1		-0.272962	0.926209892
Hoxb9		-0.278321326	0.883022012
Stac2		-0.148727644	0.984868635
Nr1d1		0.398935176	0.495698769
Fkbp10		-0.130532999	0.911487071
Naglu		-0.051558177	0.964766271
Ccr10		-0.075185257	0.794946236
Tmem106a		-0.245426197	0.900969298
Meox1		-0.651463449	0.740353926
Sost		-0.757358182	0.591447483
Cd300lg		-0.454496798	0.802679693
Grn		-0.169469451	0.933761519
Mrc2		-0.388832168	0.766480696
Arsg		0.252001179	0.838143217
Abca9		-0.184149373	0.805026437
Slc39a11		-0.08246762	0.921572341
Ttyh2		-0.164077094	0.950554936
Gprc5c		-0.364322814	0.905624555
Cd300a		-0.063874573	0.962894963
Cd300lb		-0.099071557	0.936400238
Cd300c2		-0.211038593	0.917326293
Cd300lf		-0.069820944	0.708426825
Itgb4		-0.096869199	0.924254227
Trim47		-0.623590348	0.701232942
Foxj1		-0.627555845	0.346329158
Socs3		-0.677999439	0.615075233
Lgals3bp		-0.091781576	0.963690746
Calml3		0.053314	0.549198635
Akr1c14		-0.230819308	0.690513689
Idi1		-0.697103713	0.575475998
Gpr137b		-0.226310456	0.872173758
Inhba		-0.131710329	0.943335938
Aoah		0.04161332	0.922393711
Irf4		0.529158828	0.519371766
Tubb2b		-0.621481873	0.634416177
Ly86		0.111011668	0.914102007
Cd83		-0.2427949	0.850652165
Rbm24		-0.205148994	0.51182618
Id4		0.17132379	0.738613839
Aspn		-0.547378714	0.61124461
Sema4d		0.532788971	0.526926098
Gadd45g		-0.452731872	0.77191524
Syk		0.183628959	0.875576225
Hk3		-0.144117281	0.874544935
Dbn1		-0.383169456	0.879615152
Tifab		-0.024126654	0.765891581
Ntrk2		0.183642699	0.661927184
Ctsl		-0.174729775	0.936488619
Irx1		-0.374221747	0.216184526
Ftl1-ps1		-0.339615874	0.875007704
Mef2c		0.392773854	0.689663371
Hapln1		-0.246195716	0.921982101
Vcan		-0.268079559	0.830097847
Ankrd34b		-0.305888648	0.847326704
Lhfpl2		-0.256481294	0.964399163
Hexb		-0.03237504	0.961637855
Map1b		-0.365606452	0.869658372
Cd180		0.644144464	0.464149977
Mast4		-0.22682274	0.830692515
Hcn1		0.329496937	0.633886693
Fgf10		-0.550277781	0.33293588
		-0.635928491	0.311185286
Hmgcs1		-0.580200733	0.701513462
Efr3b		-0.091002434	0.957439407
Slc26a4		-0.149517554	0.565178864
Hdac9		0.164354985	0.885480128
Agr2		-0.392539704	0.650034013
Scin		-0.173310849	0.915473472
Nrcam		-0.258737104	0.945302896
Slc38a6		0.330175524	0.732356537
Npc2		-0.293834128	0.25358202
Ltbp2		-0.101870461	0.900049048
Vash1		-0.257966047	0.892442161
Dio2		-0.156694341	0.5256476
Galc		-0.151475676	0.873029979
Gpr65		-0.009436889	0.925577702
Fbln5		-0.287596947	0.960784177
Lgmn		-0.221029884	0.956884605
Unc79		-0.061570096	0.889621409
Ifi27l2a		-0.084056993	0.457743546
Serpina10		-0.274483219	0.88679328
Serpina3n		-0.311954656	0.95259258
Syne3		0.229413578	0.754400472
Bdkrb2		-0.548330214	0.477653897
Tnfaip2		-0.388351371	0.878227853
Ckb		-0.583813691	0.714920681
Pld4		-0.227189518	0.883223447
Ahnak2		0.097209818	0.796265535
Jag2		-0.762736361	0.617186762
Crip1		-0.449372534	0.690805179
Igha		-0.19916013	0.876168408
Ighe		-0.101426403	0.618765135
Ighg2c		-0.041145727	0.818249129
Ighg2b		-0.108658114	0.820407388
Ighg1		0.103437546	0.50191733
Ighg3		-0.229343789	0.559661716
Ighm		0.494287891	0.486772426
Ighj4		-0.048642484	0.840746821
Ighj3		-0.00933757	0.817614843
Ighj2		-0.157709515	0.910006873
Ighj1		-0.040038238	0.838851529
Ighv2-2		-0.007332485	0.87361793
Ighv5-4		-0.124801305	0.849479957
Ighv2-3		0.03306947	0.683124166
Ighv5-6		-0.080012073	0.826488707
Ighv2-4		-0.138220969	0.593379794
Ighv5-9		-0.037898521	0.835792419
Ighv2-5		0.122143792	0.701811193
Ighv5-12		-0.092035431	0.8176649
Ighv2-6		-0.014235501	0.76989911
Ighv5-9-1		-0.131962936	0.771941258
Ighv5-12-4		0.067066789	0.818597116
Ighv2-6-8		-0.023641975	0.771691583
Ighv5-15		-0.266718359	0.520889925
Ighv5-17		-0.291250414	0.51150003
Ighv2-9		-0.22110026	0.734016015
Ighv7-1		0.088514644	0.577414925
Ighv14-1		-0.040754826	0.741276505
Ighv4-1		-0.521424262	0.494285635
Ighv3-1		-0.090376645	0.784520136
Ighv14-2		-0.135028447	0.803454737
Ighv4-2		-0.456954871	0.460614234
Ighv3-2		-0.189719096	0.816296561
Ighv14-3		-0.157419107	0.798304841
Ighv9-1		-0.381410695	0.743736329
Ighv9-3		-0.36845972	0.876294592
Ighv14-4		-0.052309497	0.854152277
Ighv3-6		-0.063419961	0.747952442
Ighv9-4		-0.530810799	0.685127892
Ighv3-8		-0.281437791	0.577776876
Ighv12-3		0.029694817	0.397069251
Ighv6-3		-0.196562301	0.822217945
Ighv6-6		-0.085455898	0.780589956
Ighv6-7		-0.047927254	0.356269739
Ighv10-1		-0.105823702	0.618406792
Ighv1-4		-0.066237373	0.827920521
Ighv1-5		-0.06704854	0.642015605
Ighv10-3		-0.078372574	0.598858269
Ighv1-7		-0.051109147	0.800403096
Ighv1-9		-0.226453988	0.615143945
Ighv1-11		0.144933518	0.497497888
Ighv1-14		0.001270348	0.692654199
Ighv1-18		-0.184050129	0.762754348
Ighv1-19		0.320515108	0.517952558
Ighv1-21		-0.168631256	0.79282371
Ighv1-22		-0.093572049	0.751817128
Ighv1-26		-0.202139248	0.786109657
Ighv1-34		-0.075911238	0.747930657
Ighv1-37		-0.255483046	0.672136599
Ighv8-5		-0.015426676	0.64638487
Ighv1-52		-0.332244733	0.767161174
Ighv1-53		-0.095252537	0.753685767
Ighv1-54		-0.144375885	0.776396204
Ighv1-55		-0.332548413	0.662629341
Ighv8-8		0.050514947	0.69960328
Ighv1-58		-0.249795371	0.806360249
Ighv1-62		-0.037339312	0.621007736
Ighv1-62-3		0.055303748	0.565554637
Ighv1-63		-0.05809583	0.500328395
Ighv1-64		-0.063998208	0.759930884
Ighv8-11		0.180919241	0.721678494
Ighv1-66		-0.150592061	0.903389067
Ighv1-67		-0.060597954	0.519428579
Ighv1-69		-0.026494663	0.627813076
Ighv8-12		-0.227863014	0.67012429
Ighv1-70		-0.424530798	0.610011703
Ighv1-71		0.101160498	0.609524998
Ighv1-72		-0.044671196	0.581692127
Ighv1-73		-0.136530644	0.628708571
Ighv1-74		-0.135454331	0.797660936
Ighv1-77		-0.051766124	0.856982013
Ighv1-78		-0.056579937	0.651246397
Ighv1-80		-0.192563233	0.811666743
Ighv1-81		-0.22257127	0.724209085
Ighv1-82		-0.273409677	0.810850238
Ighv1-83		-0.071850543	0.884607542
Ighv1-85		0.035212951	0.792804865
C6		-0.446685628	0.799043405
C7		-0.243112549	0.633203772
Ptger4		0.266615518	0.78399653
Dab2		-0.290256643	0.952121613
Il7r		0.134418028	0.914797596
Basp1		-0.422295159	0.895375769
Ank		0.083887563	0.86997762
Dnah5		0.036435299	0.681942851
Dap		-0.374606019	0.822335511
Sema5a		0.134493612	0.826100892
Fzd6		0.266218858	0.805680592
Cthrc1		-0.274158611	0.842980045
Lrp12		-0.199912999	0.923740668
Col14a1		-0.060300708	0.843328769
Fbxo32		0.449817836	0.61109213
Sqle		-0.36743526	0.844840285
Sla		-0.049832823	0.81155388
Ndrg1		-0.411392332	0.939105956
Ly6e		-0.38894827	0.764664728
Foxred2		0.025960016	0.920030388
Ncf4		-0.001779077	0.916250004
Csf2rb2		-0.190537325	0.955173808
Csf2rb		-0.187142947	0.924471645
Kctd17		-0.331219909	0.927967225
C1qtnf6		-0.213439227	0.958632494
Rac2		0.662196057	0.463716785
Cyth4		-0.075461446	0.931845509
Lgals1		-0.331269266	0.959432307
Maff		-0.476835139	0.590845483
Syngr1		0.01484189	0.804261019
Tef		0.566402575	0.41745195
Upk3a		-0.243288686	0.797583971
Wnt7b		-0.151056805	0.846888466
Gtse1		-0.292556144	0.848145682
Cerk		-0.570231072	0.692181262
Ccdc184		-0.572510037	0.400817339
Galnt6		0.130416027	0.907251722
Krt1		0.039385814	0.712113784
Nckap1l		0.064487892	0.928180014
Litaf		-0.586716578	0.816913607
Cebpd		-0.352782571	0.513674276
Iglc1		-0.345055212	0.765925264
Iglc3		0.72445721	0.388817538
Iglv1		-0.329893537	0.842070113
Iglc2		0.204258997	0.712990445
Iglv3		0.219972489	0.488578924
Iglv2		-0.080711109	0.726720358
Klhl6		0.449758983	0.673255958
Etv5		0.328207908	0.21212305
Kng2		-0.282839697	0.786693336
Kng1		-0.115593589	0.850369299
Masp1		-0.268762896	0.898544068
Tm4sf19		-0.136179456	0.963344457
Gm20056		-0.20819466	0.939384974
Muc4		-0.079562191	0.834156198
Adcy5		-0.258576207	0.70505839
Fstl1		-0.281186594	0.951603802
Pla1a		-0.083250751	0.9592289
Atp6v1a		-0.321120451	0.947880751
Cd200r1		-0.206604359	0.949435063
Cd200r4		-0.242100612	0.921996444
Cd200r2		-0.129306426	0.77201578
Ccdc80		-0.222387393	0.975250638
Cd200		-0.175223824	0.971904961
Gcsam		-0.494827371	0.891239802
Retnla		-0.279917816	0.713756779
Filip1l		-0.431448119	0.62269588
Epha3		-0.00741722	0.800361134
Robo2		-0.097866982	0.965568681
Jam2		-0.280866908	0.909671614
Adamts1		0.010218948	0.513852292
Rcan1		-0.519307418	0.868959085
B3galt5		-0.17217733	0.855346158
Bace2		-0.459391144	0.839979671
Mx1		0.162162635	0.767527022
Igf2r		-0.21977612	0.843257961
Thbs2		0.041799592	0.780866876
Amdhd2		0.209349889	0.596843642
Abca3		0.121578064	0.245513077
Msrb1		-0.103191132	0.519637419
Tpsab1		-0.269088631	0.961943913
Tpsb2		-0.287997972	0.970302347
Tpsg1		-0.145483198	0.94670507
Cacna1h		-0.217374254	0.853184845
Pacsin1		0.467590802	0.697578742
Scube3		-0.721147173	0.596017958
Cdkn1a		-0.78980645	0.512426782
Abcg1		-0.164974346	0.686369574
Myo1f		0.016211885	0.867694136
Angptl4		-0.444801664	0.259159813
H2-Eb1		0.080533425	0.906469876
H2-Eb2		0.2053161	0.737533939
C4b		-0.199728434	0.941771974
C4a		-0.132569076	0.923871451
C2		0.000768184	0.562584923
H2-M2		-0.096737501	0.978336316
Pla2g7		-0.006820056	0.901899418
Treml2		0.443120254	0.714582682
Trem2		-0.181018782	0.992931583
Rftn1		-0.138379099	0.921052321
Lrg1		-0.156011937	0.756030987
Tnfaip8l1		-0.025037625	0.78251469
Nrtn		0.270524087	0.55909293
C3		0.01300367	0.760044392
Adgre1		-0.195171143	0.971928209
Clip4		-0.039285509	0.877693872
Lclat1		-0.18446692	0.911112726
Crem		-0.811791434	0.404575063
Colec12		-0.216657929	0.863265613
Nrep		0.251453118	0.786552074
Mzb1		-0.014427829	0.784368233
Cd14		-0.26047973	0.567354078
Pcdhb3		-0.249795669	0.853849875
Pcdhb7		-0.061864881	0.831853868
Pcdhb9		-0.279084634	0.961515391
Pcdhgc5		-0.006289922	0.768611203
Gnpda1		-0.310288766	0.949598015
Dpysl3		-0.486339994	0.60332479
Ap3s1		-0.62824211	0.845654984
Tnfaip8		-0.321923046	0.900470973
Lox		-0.677762795	0.650439401
Sncaip		-0.206163015	0.869759191
Ppic		-0.269149911	0.967322956
Slc27a6		-0.01366275	0.921027895
Chsy3		0.002089742	0.883503214
Csf1r		-0.109382479	0.944566487
Piezo2		0.075720228	0.599547099
Alpk2		0.007883375	0.881926837
Malt1		0.096260783	0.805248325
Tubb6		-0.612632295	0.729526145
Slc14a1		-0.093690432	0.944984951
Cpt1a		0.52727084	0.450952571
Tcirg1		-0.074009682	0.849332605
Unc93b1		0.008797383	0.9467532
Tmem151a		-0.161317979	0.941227358
Fth1		-0.317331622	0.89139003
Rab3il1		-0.326462069	0.961470115
Slc15a3		-0.151889007	0.88403358
Ms4a8a		-0.370388249	0.830194248
Ms4a7		-0.251700719	0.985622302
Ms4a4a		-0.376599678	0.894865424
Ms4a6d		-0.411922136	0.920208815
Ms4a2		-0.144642912	0.964701381
Mpeg1		-0.150385538	0.930604309
Prune2		-0.194430624	0.907604775
Anxa1		-0.366013425	0.827406427
Gda		-0.071866768	0.929421496
Mamdc2		0.031339016	0.769565981
Tmem252		-0.223370361	0.432312708
Cd274		0.031196278	0.816532505
Il33		-0.36719621	0.555880763
Ch25h		-0.045645563	0.891197004
Lipa		-0.123302185	0.975839945
Ifit3		0.181123292	0.839676257
Ifit1		-0.412781268	0.639677168
Myof		-0.092460554	0.864760649
Blnk		0.197235401	0.910420797
Trub1		-0.082719147	0.371108222
Slc18a2		-0.278441755	0.8956594
Csf2ra		-0.036321413	0.890363074
